"Sichinava_n" "Sichinava_p" "Voloshin_n" "Voloshin_p"
"найти" 0.127172530733362 0.0401767778224186 0.0387296669248644 0.0434782608695652
"нас" 0.0423908435777872 0.0401767778224186 0 0.173913043478261
"нее" 0.127172530733362 0.0803535556448373 0 0.0434782608695652
"немного" 0.0847816871555744 0 0.116189000774593 0.0434782608695652
"очередь" 0.127172530733362 0 0.0774593338497289 0.0434782608695652
"под" 0 0 0.154918667699458 0.0869565217391304
"разных" 0 0.160707111289675 0.0774593338497289 0
"рота" 0 0.241060666934512 0 0
"сам" 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.0869565217391304
"самое" 0.0847816871555744 0 0 0.173913043478261
"своей" 0.0847816871555744 0 0.0774593338497289 0.0869565217391304
"смысле" 0.0423908435777872 0.120530333467256 0 0.0869565217391304
"собой" 0.0423908435777872 0.120530333467256 0.0774593338497289 0
"стоит" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.0869565217391304
"сюжет" 0.0423908435777872 0.0803535556448373 0.0387296669248644 0.0869565217391304
"три" 0.127172530733362 0.0401767778224186 0.0387296669248644 0.0434782608695652
"хватает" 0.0423908435777872 0 0.0387296669248644 0.173913043478261
"цель" 0.127172530733362 0.0803535556448373 0 0.0434782608695652
"часть" 0.0847816871555744 0 0.116189000774593 0.0434782608695652
"чего" 0.127172530733362 0 0.0387296669248644 0.0869565217391304
"большой" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0869565217391304
"была" 0.0847816871555744 0 0.116189000774593 0
"бэмби" 0.211954217888936 0 0 0
"вместо" 0.127172530733362 0.0401767778224186 0.0387296669248644 0
"вот" 0 0.0401767778224186 0.0774593338497289 0.0869565217391304
"выше" 0 0 0.0774593338497289 0.130434782608696
"главным" 0.0423908435777872 0.120530333467256 0.0387296669248644 0
"деле" 0.0847816871555744 0.120530333467256 0 0
"дело" 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.0434782608695652
"деплешен" 0 0.200883889112093 0 0
"деплешена" 0 0.200883889112093 0 0
"довольно" 0.0847816871555744 0 0.0387296669248644 0.0869565217391304
"достаточно" 0 0 0.0774593338497289 0.130434782608696
"дочь" 0.0847816871555744 0 0.0387296669248644 0.0869565217391304
"драмы" 0.0423908435777872 0 0.0387296669248644 0.130434782608696
"играет" 0 0 0.0387296669248644 0.173913043478261
"картина" 0 0 0 0.217391304347826
"картины" 0 0.0401767778224186 0.0387296669248644 0.130434782608696
"которая" 0.127172530733362 0.0401767778224186 0.0387296669248644 0
"которое" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.0434782608695652
"крайне" 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.0434782608695652
"лотоса" 0 0.200883889112093 0 0
"людей" 0.0423908435777872 0.120530333467256 0 0.0434782608695652
"маккриди" 0 0 0.193648334624322 0
"мало" 0 0 0.116189000774593 0.0869565217391304
"начала" 0.0423908435777872 0.0803535556448373 0.0387296669248644 0.0434782608695652
"ней" 0.0423908435777872 0.160707111289675 0 0
"об" 0.127172530733362 0 0.0387296669248644 0.0434782608695652
"одна" 0 0.120530333467256 0.0774593338497289 0
"особенно" 0.0423908435777872 0 0.0774593338497289 0.0869565217391304
"поэтому" 0 0 0.154918667699458 0.0434782608695652
"происходит" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.0434782608695652
"прошлое" 0.0847816871555744 0 0.116189000774593 0
"пытается" 0 0.0401767778224186 0.116189000774593 0.0434782608695652
"разве" 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.0434782608695652
"скорее" 0 0 0.0387296669248644 0.173913043478261
"слову" 0.0423908435777872 0.160707111289675 0 0
"собственной" 0.0847816871555744 0.120530333467256 0 0
"столь" 0.169563374311149 0 0 0.0434782608695652
"столько" 0 0.0803535556448373 0.116189000774593 0
"сцен" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0869565217391304
"сцены" 0 0.120530333467256 0.0774593338497289 0
"сюжета" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0869565217391304
"точно" 0.0423908435777872 0.0803535556448373 0.0774593338497289 0
"хорошо" 0.0847816871555744 0 0 0.130434782608696
"хуже" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0869565217391304
"части" 0.0423908435777872 0 0.116189000774593 0.0434782608695652
"человека" 0.0847816871555744 0 0.0774593338497289 0.0434782608695652
"через" 0 0.120530333467256 0.0774593338497289 0
"адам" 0 0.0401767778224186 0 0.130434782608696
"белого" 0 0.160707111289675 0 0
"бесконечно" 0.127172530733362 0.0401767778224186 0 0
"богов" 0.127172530733362 0.0401767778224186 0 0
"большая" 0.0423908435777872 0 0.0387296669248644 0.0869565217391304
"были" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0
"быть" 0 0 0.116189000774593 0.0434782608695652
"ван" 0.0423908435777872 0 0 0.130434782608696
"вместе" 0.0423908435777872 0.0401767778224186 0 0.0869565217391304
"война" 0 0 0.154918667699458 0
"вообще" 0 0.0803535556448373 0.0387296669248644 0.0434782608695652
"впечатление" 0 0.0401767778224186 0.116189000774593 0
"времени" 0.0847816871555744 0 0.0774593338497289 0
"всегда" 0 0 0.116189000774593 0.0434782608695652
"герой" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0434782608695652
"главное" 0.127172530733362 0 0 0.0434782608695652
"главной" 0 0 0.0774593338497289 0.0869565217391304
"года" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0434782608695652
"году" 0.0423908435777872 0.0803535556448373 0.0387296669248644 0
"действие" 0.0847816871555744 0.0803535556448373 0 0
"другие" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0
"её" 0 0 0.0387296669248644 0.130434782608696
"жанра" 0 0 0.0387296669248644 0.130434782608696
"жена" 0.0423908435777872 0.0803535556448373 0 0.0434782608695652
"женщины" 0 0 0 0.173913043478261
"зритель" 0 0.0401767778224186 0.0774593338497289 0.0434782608695652
"избави" 0 0 0 0.173913043478261
"итан" 0 0.0803535556448373 0 0.0869565217391304
"итоге" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0
"кассиан" 0.169563374311149 0 0 0
"конфликта" 0 0.0803535556448373 0.0387296669248644 0.0434782608695652
"котором" 0.0847816871555744 0 0.0774593338497289 0
"которому" 0 0.0803535556448373 0.0774593338497289 0
"кроме" 0.0423908435777872 0.0401767778224186 0 0.0869565217391304
"кстати" 0.0847816871555744 0 0.0774593338497289 0
"кэсси" 0.169563374311149 0 0 0
"лукавого" 0 0 0 0.173913043478261
"мере" 0.0847816871555744 0.0803535556448373 0 0
"надо" 0.169563374311149 0 0 0
"наконец" 0.0423908435777872 0.0803535556448373 0 0.0434782608695652
"нам" 0 0 0.0387296669248644 0.130434782608696
"наоборот" 0 0 0.0387296669248644 0.130434782608696
"напоминает" 0 0.0401767778224186 0.116189000774593 0
"например" 0.0423908435777872 0 0.0774593338497289 0.0434782608695652
"начинается" 0 0.120530333467256 0 0.0434782608695652
"нечто" 0.0423908435777872 0 0.0387296669248644 0.0869565217391304
"ник" 0 0 0.0774593338497289 0.0869565217391304
"ним" 0 0.120530333467256 0 0.0434782608695652
"обман" 0 0.160707111289675 0 0
"общем" 0.0423908435777872 0.0803535556448373 0 0.0434782608695652
"оригинальное" 0 0.0401767778224186 0 0.130434782608696
"отца" 0.0423908435777872 0 0.0774593338497289 0.0434782608695652
"очередной" 0 0 0.0774593338497289 0.0869565217391304
"первого" 0.0847816871555744 0.0803535556448373 0 0
"первую" 0.0847816871555744 0 0.0774593338497289 0
"перед" 0.127172530733362 0.0401767778224186 0 0
"персонажей" 0 0.120530333467256 0.0387296669248644 0
"пожалуй" 0.0847816871555744 0.0401767778224186 0 0.0434782608695652
"пока" 0.169563374311149 0 0 0
"помочь" 0.0423908435777872 0 0.0387296669248644 0.0869565217391304
"похож" 0.0423908435777872 0 0.0387296669248644 0.0869565217391304
"почему" 0.0423908435777872 0 0.116189000774593 0
"принципиально" 0 0 0.0774593338497289 0.0869565217391304
"ради" 0.127172530733362 0.0401767778224186 0 0
"режиссера" 0.0847816871555744 0.0803535556448373 0 0
"роли" 0 0.0803535556448373 0.0774593338497289 0
"ростов" 0 0 0 0.173913043478261
"самой" 0 0.0401767778224186 0.0774593338497289 0.0434782608695652
"самых" 0 0.0803535556448373 0 0.0869565217391304
"своим" 0 0.0803535556448373 0.0387296669248644 0.0434782608695652
"сделать" 0.0423908435777872 0 0.116189000774593 0
"сериал" 0.0847816871555744 0.0401767778224186 0.0387296669248644 0
"сколько" 0 0.0803535556448373 0.0774593338497289 0
"скорости" 0 0 0 0.173913043478261
"случае" 0.127172530733362 0 0.0387296669248644 0
"случай" 0 0 0.0774593338497289 0.0869565217391304
"смерти" 0.0847816871555744 0 0.0774593338497289 0
"спасти" 0.127172530733362 0 0 0.0434782608695652
"стало" 0.0847816871555744 0.0401767778224186 0.0387296669248644 0
"стать" 0 0.0401767778224186 0.0774593338497289 0.0434782608695652
"степени" 0 0.0401767778224186 0.0774593338497289 0.0434782608695652
"сценария" 0.127172530733362 0 0.0387296669248644 0
"счастью" 0.0423908435777872 0.120530333467256 0 0
"там" 0 0.0401767778224186 0.116189000774593 0
"той" 0 0.120530333467256 0.0387296669248644 0
"тому" 0.127172530733362 0 0.0387296669248644 0
"уайт" 0 0.160707111289675 0 0
"уайта" 0 0.160707111289675 0 0
"удается" 0.0847816871555744 0.0401767778224186 0 0.0434782608695652
"филип" 0 0.160707111289675 0 0
"хоуп" 0.169563374311149 0 0 0
"чарли" 0 0 0.154918667699458 0
"черном" 0.0423908435777872 0 0 0.130434782608696
"шазамом" 0.169563374311149 0 0 0
"энди" 0 0 0.154918667699458 0
"эпизодов" 0.169563374311149 0 0 0
"эта" 0 0.0803535556448373 0.0387296669248644 0.0434782608695652
"эти" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0
"этих" 0.0423908435777872 0.0803535556448373 0.0387296669248644 0
"эту" 0.0423908435777872 0 0.0387296669248644 0.0869565217391304
"эхо" 0.169563374311149 0 0 0
"якудза" 0 0 0 0.173913043478261
"азиатского" 0 0 0 0.130434782608696
"бигелоу" 0.127172530733362 0 0 0
"боевик" 0 0 0.0387296669248644 0.0869565217391304
"боевых" 0 0 0.0387296669248644 0.0869565217391304
"большим" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"боул" 0.127172530733362 0 0 0
"боула" 0.127172530733362 0 0 0
"будет" 0 0 0.0387296669248644 0.0869565217391304
"будто" 0 0.0803535556448373 0.0387296669248644 0
"верить" 0.127172530733362 0 0 0
"взглядом" 0 0 0.116189000774593 0
"виде" 0.0423908435777872 0 0.0387296669248644 0.0434782608695652
"видович" 0 0 0 0.130434782608696
"виду" 0 0.0803535556448373 0.0387296669248644 0
"визуальный" 0.0423908435777872 0.0803535556448373 0 0
"власти" 0 0.0803535556448373 0 0.0434782608695652
"внимание" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"воду" 0 0.0401767778224186 0.0774593338497289 0
"воды" 0.0423908435777872 0 0.0387296669248644 0.0434782608695652
"военного" 0 0.0803535556448373 0.0387296669248644 0
"вряд" 0 0 0.0774593338497289 0.0434782608695652
"всем" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"всю" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"второго" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"вторых" 0.0847816871555744 0.0401767778224186 0 0
"вы" 0 0.0803535556448373 0 0.0434782608695652
"выглядит" 0.0847816871555744 0 0.0387296669248644 0
"выходит" 0.0423908435777872 0 0.0774593338497289 0
"героями" 0 0.0803535556448373 0 0.0434782608695652
"гораздо" 0.0847816871555744 0.0401767778224186 0 0
"действия" 0.0423908435777872 0 0 0.0869565217391304
"детей" 0 0.0803535556448373 0.0387296669248644 0
"джанет" 0.127172530733362 0 0 0
"джунглям" 0.127172530733362 0 0 0
"долго" 0 0.0401767778224186 0.0774593338497289 0
"должен" 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"дочери" 0.0847816871555744 0.0401767778224186 0 0
"ей" 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"жаль" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"жениха" 0 0.0401767778224186 0 0.0869565217391304
"жизнь" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"замечательно" 0.0423908435777872 0.0803535556448373 0 0
"звезда" 0 0 0 0.130434782608696
"знает" 0 0 0.0774593338497289 0.0434782608695652
"иззи" 0 0 0 0.130434782608696
"иногда" 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"иной" 0.0423908435777872 0 0.0774593338497289 0
"интересно" 0.0423908435777872 0 0.0387296669248644 0.0434782608695652
"иными" 0.0423908435777872 0.0803535556448373 0 0
"ираке" 0.127172530733362 0 0 0
"исключением" 0.127172530733362 0 0 0
"использует" 0 0.0803535556448373 0.0387296669248644 0
"каждый" 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"касается" 0.127172530733362 0 0 0
"книги" 0.0423908435777872 0.0803535556448373 0 0
"количество" 0 0 0.0774593338497289 0.0434782608695652
"компании" 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"корейского" 0 0 0 0.130434782608696
"которую" 0.0847816871555744 0.0401767778224186 0 0
"кто" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"куда" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"кэтрин" 0.0847816871555744 0 0 0.0434782608695652
"лишены" 0.0423908435777872 0 0.0387296669248644 0.0434782608695652
"логика" 0 0 0.116189000774593 0
"лэнг" 0.127172530733362 0 0 0
"любовницей" 0 0.120530333467256 0 0
"любовный" 0.0847816871555744 0 0.0387296669248644 0
"любой" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"майкл" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"марк" 0.127172530733362 0 0 0
"матери" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"мин" 0 0 0 0.130434782608696
"многие" 0 0 0.116189000774593 0
"могла" 0 0 0.116189000774593 0
"момент" 0 0.0401767778224186 0 0.0869565217391304
"мрачный" 0 0 0.0774593338497289 0.0434782608695652
"наверняка" 0 0 0.0387296669248644 0.0869565217391304
"начало" 0.127172530733362 0 0 0
"нескольких" 0 0.0803535556448373 0.0387296669248644 0
"никуда" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"ничего" 0 0 0.0774593338497289 0.0434782608695652
"новые" 0.0423908435777872 0 0.0774593338497289 0
"новых" 0 0.0401767778224186 0.0774593338497289 0
"ну" 0 0 0.0387296669248644 0.0869565217391304
"обладает" 0 0 0 0.130434782608696
"образом" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"одиссея" 0.0423908435777872 0.0803535556448373 0 0
"одним" 0.0423908435777872 0.0803535556448373 0 0
"одно" 0.0847816871555744 0.0401767778224186 0 0
"опыт" 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"основных" 0.0423908435777872 0 0.0387296669248644 0.0434782608695652
"оставляет" 0 0 0.0774593338497289 0.0434782608695652
"остросюжетный" 0.0423908435777872 0 0 0.0869565217391304
"отеле" 0 0.0803535556448373 0 0.0434782608695652
"отправляется" 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"отчасти" 0.127172530733362 0 0 0
"первой" 0.0423908435777872 0 0.0774593338497289 0
"первых" 0.0847816871555744 0.0401767778224186 0 0
"персонажем" 0.127172530733362 0 0 0
"писатель" 0 0.0803535556448373 0.0387296669248644 0
"планеты" 0.0423908435777872 0 0.0774593338497289 0
"повествование" 0.0847816871555744 0 0 0.0434782608695652
"последний" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"потому" 0.0423908435777872 0 0.0774593338497289 0
"появляется" 0.0423908435777872 0 0.0387296669248644 0.0434782608695652
"правда" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"превращается" 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"прежде" 0.0423908435777872 0.0803535556448373 0 0
"прекрасно" 0 0.0401767778224186 0 0.0869565217391304
"принса" 0.127172530733362 0 0 0
"принято" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"приходится" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"причем" 0 0.120530333467256 0 0
"проблема" 0.0423908435777872 0 0.0387296669248644 0.0434782608695652
"провести" 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"продолжение" 0.0423908435777872 0.0803535556448373 0 0
"прокате" 0 0 0.0387296669248644 0.0869565217391304
"прочих" 0.0847816871555744 0.0401767778224186 0 0
