"Goverdovski_n" "Goverdovski_p" "Sichinava_n" "Sichinava_p" "Voloshin_n" "Voloshin_p"
"хотя" 0.0447427293064877 0.149700598802395 0.211954217888936 0.0401767778224186 0.0774593338497289 0.0434782608695652
"явно" 0.0894854586129754 0.0499001996007984 0.0423908435777872 0.0803535556448373 0.154918667699458 0.130434782608696
"было" 0.134228187919463 0 0.0423908435777872 0.120530333467256 0.154918667699458 0.0434782608695652
"два" 0.223713646532438 0.0499001996007984 0.0847816871555744 0.120530333467256 0 0.0434782608695652
"джон" 0 0.0499001996007984 0 0.0803535556448373 0.271107668474051 0.0869565217391304
"жизни" 0.0447427293064877 0.0998003992015968 0.169563374311149 0.120530333467256 0.0774593338497289 0
"лишь" 0 0 0.0847816871555744 0.0401767778224186 0.116189000774593 0.260869565217391
"людей" 0.134228187919463 0.199600798403194 0.0423908435777872 0.120530333467256 0 0.0434782608695652
"ни" 0 0.0499001996007984 0.127172530733362 0.120530333467256 0.0387296669248644 0.173913043478261
"них" 0.134228187919463 0 0.127172530733362 0.0803535556448373 0.116189000774593 0.0434782608695652
"однако" 0.223713646532438 0.249500998003992 0 0 0.0387296669248644 0.0434782608695652
"очередь" 0.134228187919463 0.149700598802395 0.127172530733362 0 0.0774593338497289 0.0434782608695652
"пока" 0.223713646532438 0.149700598802395 0.169563374311149 0 0 0
"почти" 0.134228187919463 0.0998003992015968 0.0847816871555744 0.120530333467256 0.0774593338497289 0
"при" 0 0 0.0423908435777872 0.0401767778224186 0.193648334624322 0.217391304347826
"рэмбо" 0 0 0 0 0.464756003098373 0
"себя" 0 0.0998003992015968 0.0847816871555744 0.0803535556448373 0.154918667699458 0.0869565217391304
"того" 0.0894854586129754 0.0998003992015968 0.169563374311149 0 0.0774593338497289 0.0869565217391304
"этой" 0.0894854586129754 0 0.0423908435777872 0.120530333467256 0.0387296669248644 0.217391304347826
"был" 0 0 0.169563374311149 0.160707111289675 0.0774593338497289 0.0434782608695652
"всего" 0.0894854586129754 0 0.0423908435777872 0.160707111289675 0.116189000774593 0.0434782608695652
"да" 0.0894854586129754 0.0499001996007984 0.127172530733362 0 0.154918667699458 0.0434782608695652
"кажется" 0.0447427293064877 0.149700598802395 0.0847816871555744 0 0.0387296669248644 0.173913043478261
"конечно" 0 0.0499001996007984 0.0423908435777872 0.0401767778224186 0.154918667699458 0.173913043478261
"над" 0.0894854586129754 0.0499001996007984 0.0423908435777872 0.0803535556448373 0.193648334624322 0
"нее" 0.178970917225951 0.0499001996007984 0.127172530733362 0.0803535556448373 0 0.0434782608695652
"один" 0.0894854586129754 0.0998003992015968 0.169563374311149 0 0 0.130434782608696
"своей" 0.0894854586129754 0.149700598802395 0.0847816871555744 0 0.0774593338497289 0.0869565217391304
"себе" 0.0447427293064877 0 0.0847816871555744 0.120530333467256 0.0774593338497289 0.130434782608696
"сказать" 0.0894854586129754 0.0499001996007984 0.169563374311149 0.0401767778224186 0.0774593338497289 0.0434782608695652
"триллер" 0 0.0499001996007984 0 0 0.154918667699458 0.260869565217391
"войны" 0 0 0.127172530733362 0 0.232378001549187 0.0434782608695652
"вроде" 0 0 0.169563374311149 0.0803535556448373 0.0387296669248644 0.130434782608696
"героини" 0.134228187919463 0.0499001996007984 0 0.0803535556448373 0.0387296669248644 0.130434782608696
"героя" 0.0447427293064877 0.0998003992015968 0.127172530733362 0.0401767778224186 0.0387296669248644 0.0869565217391304
"здесь" 0 0 0 0.0401767778224186 0.154918667699458 0.217391304347826
"играет" 0.0894854586129754 0.149700598802395 0 0 0.0387296669248644 0.173913043478261
"которых" 0.0894854586129754 0.0998003992015968 0.0423908435777872 0.120530333467256 0.0387296669248644 0.0434782608695652
"мира" 0.0447427293064877 0.0499001996007984 0.0423908435777872 0.0803535556448373 0.154918667699458 0.0434782608695652
"много" 0 0 0.169563374311149 0 0.116189000774593 0.130434782608696
"него" 0 0.0499001996007984 0.127172530733362 0.0803535556448373 0.116189000774593 0.0434782608695652
"нем" 0.0447427293064877 0.0998003992015968 0.169563374311149 0.0803535556448373 0 0.0434782608695652
"одиннадцать" 0 0.499001996007984 0 0 0 0
"одного" 0 0.149700598802395 0 0.0803535556448373 0.116189000774593 0.0869565217391304
"перед" 0.134228187919463 0.149700598802395 0.127172530733362 0.0401767778224186 0 0
"своего" 0.0894854586129754 0 0 0.0401767778224186 0.0774593338497289 0.217391304347826
"слишком" 0.0447427293064877 0 0.127172530733362 0.160707111289675 0 0.0869565217391304
"сцен" 0.0894854586129754 0.149700598802395 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0869565217391304
"часть" 0.178970917225951 0 0.0847816871555744 0 0.116189000774593 0.0434782608695652
"билли" 0 0 0.381517592200085 0 0 0
"будет" 0.134228187919463 0.149700598802395 0 0 0.0387296669248644 0.0869565217391304
"быть" 0.134228187919463 0.0998003992015968 0 0 0.116189000774593 0.0434782608695652
"вовсе" 0.0447427293064877 0.0998003992015968 0.0423908435777872 0.120530333467256 0.0774593338497289 0
"второй" 0.0447427293064877 0.0998003992015968 0 0.0803535556448373 0.0774593338497289 0.0869565217391304
"женщины" 0.223713646532438 0 0 0 0 0.173913043478261
"лет" 0 0.0499001996007984 0.0423908435777872 0 0.271107668474051 0
"мир" 0.0894854586129754 0.0499001996007984 0.169563374311149 0 0 0.0869565217391304
"несмотря" 0.0447427293064877 0.0499001996007984 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.130434782608696
"оказывается" 0 0 0.169563374311149 0.0401767778224186 0.0774593338497289 0.0869565217391304
"первый" 0 0.0499001996007984 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.173913043478261
"поле" 0.357941834451902 0 0 0 0.0387296669248644 0
"режиссер" 0.0894854586129754 0 0.0423908435777872 0.120530333467256 0.0387296669248644 0.0869565217391304
"сюжет" 0.0894854586129754 0.0499001996007984 0.0423908435777872 0.0803535556448373 0.0387296669248644 0.0869565217391304
"ведь" 0 0.0499001996007984 0.0847816871555744 0.0803535556448373 0.116189000774593 0
"вич" 0 0.399201596806387 0 0 0 0
"вместо" 0.0894854586129754 0.0499001996007984 0.127172530733362 0.0401767778224186 0.0387296669248644 0
"возможно" 0.0447427293064877 0 0.0423908435777872 0.0401767778224186 0.193648334624322 0
"всех" 0.0894854586129754 0 0.127172530733362 0.0401767778224186 0.0774593338497289 0
"главного" 0.0447427293064877 0.0499001996007984 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.0869565217391304
"зрителя" 0 0.0499001996007984 0 0 0.0774593338497289 0.217391304347826
"именно" 0.0447427293064877 0 0 0.0803535556448373 0.193648334624322 0
"команды" 0.268456375838926 0 0.0423908435777872 0.0401767778224186 0 0
"куда" 0.0894854586129754 0.149700598802395 0 0.0401767778224186 0.0387296669248644 0.0434782608695652
"наверняка" 0.178970917225951 0.0499001996007984 0 0 0.0387296669248644 0.0869565217391304
"название" 0.0447427293064877 0.0499001996007984 0 0.0401767778224186 0.0387296669248644 0.173913043478261
"почему" 0.178970917225951 0 0.0423908435777872 0 0.116189000774593 0
"разных" 0 0.0998003992015968 0 0.160707111289675 0.0774593338497289 0
"самое" 0.0447427293064877 0.0499001996007984 0.0847816871555744 0 0 0.173913043478261
"самом" 0 0 0.127172530733362 0.160707111289675 0.0387296669248644 0
"своим" 0.0894854586129754 0.0998003992015968 0 0.0803535556448373 0.0387296669248644 0.0434782608695652
"сериале" 0.223713646532438 0.149700598802395 0 0 0 0
"собой" 0 0.0998003992015968 0.0423908435777872 0.120530333467256 0.0774593338497289 0
"становится" 0.0447427293064877 0 0.0423908435777872 0.0401767778224186 0.116189000774593 0.0869565217391304
"стоит" 0.0894854586129754 0 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.0869565217391304
"три" 0.0447427293064877 0.0499001996007984 0.127172530733362 0.0401767778224186 0.0387296669248644 0.0434782608695652
"уж" 0 0.0499001996007984 0.0423908435777872 0.0401767778224186 0.116189000774593 0.0869565217391304
"холмов" 0.357941834451902 0 0 0 0 0
"человека" 0.0447427293064877 0.0998003992015968 0.0847816871555744 0 0.0774593338497289 0.0434782608695652
"эмбер" 0 0 0.339126748622298 0 0 0
"вместе" 0.0894854586129754 0.0499001996007984 0.0423908435777872 0.0401767778224186 0 0.0869565217391304
"вот" 0.0894854586129754 0 0 0.0401767778224186 0.0774593338497289 0.0869565217391304
"всей" 0 0 0.127172530733362 0 0.0774593338497289 0.0869565217391304
"выглядит" 0.0447427293064877 0.149700598802395 0.0847816871555744 0 0.0387296669248644 0
"году" 0.0447427293064877 0.0998003992015968 0.0423908435777872 0.0803535556448373 0.0387296669248644 0
"дмитрий" 0.0894854586129754 0.199600798403194 0 0.0401767778224186 0 0
"довольно" 0.0447427293064877 0.0499001996007984 0.0847816871555744 0 0.0387296669248644 0.0869565217391304
"драмы" 0.0894854586129754 0 0.0423908435777872 0 0.0387296669248644 0.130434782608696
"картине" 0 0 0 0 0.0387296669248644 0.260869565217391
"кирстен" 0 0.349301397205589 0 0 0 0
"которое" 0.0894854586129754 0 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.0434782608695652
"лучше" 0.0447427293064877 0 0.0423908435777872 0 0.0387296669248644 0.173913043478261
"люди" 0.0447427293064877 0.199600798403194 0 0.0401767778224186 0 0.0434782608695652
"мандел" 0 0.349301397205589 0 0 0 0
"найти" 0 0.0499001996007984 0.127172530733362 0.0401767778224186 0.0387296669248644 0.0434782608695652
"например" 0.0447427293064877 0.0998003992015968 0.0423908435777872 0 0.0774593338497289 0.0434782608695652
"настолько" 0.178970917225951 0.0499001996007984 0 0 0.0774593338497289 0
"ней" 0.0894854586129754 0 0.0423908435777872 0.160707111289675 0 0
"немного" 0 0.0499001996007984 0.0847816871555744 0 0.116189000774593 0.0434782608695652
"об" 0 0.0998003992015968 0.127172530733362 0 0.0387296669248644 0.0434782608695652
"оба" 0 0 0.169563374311149 0.0803535556448373 0 0.0434782608695652
"персонажей" 0 0.149700598802395 0 0.120530333467256 0.0387296669248644 0
"поэтому" 0 0.0998003992015968 0 0 0.154918667699458 0.0434782608695652
"происходит" 0.0447427293064877 0.0499001996007984 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.0434782608695652
"пытается" 0.0447427293064877 0.0499001996007984 0 0.0401767778224186 0.116189000774593 0.0434782608695652
"работы" 0 0 0.0847816871555744 0 0.154918667699458 0.0434782608695652
"ради" 0.134228187919463 0 0.127172530733362 0.0401767778224186 0 0
"роль" 0.0894854586129754 0.149700598802395 0 0.0401767778224186 0 0.0434782608695652
"рот" 0 0 0 0.281237444756931 0 0
"самого" 0 0 0.127172530733362 0.120530333467256 0 0.0434782608695652
"секс" 0.223713646532438 0 0 0.0803535556448373 0 0
"сторону" 0.0894854586129754 0.0998003992015968 0.0423908435777872 0 0.0387296669248644 0.0434782608695652
"сюжета" 0.0447427293064877 0.0499001996007984 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0869565217391304
"фильме" 0 0 0.0423908435777872 0.0803535556448373 0.0774593338497289 0.0869565217391304
"хватает" 0 0.0499001996007984 0.0423908435777872 0 0.0387296669248644 0.173913043478261
"через" 0 0.0998003992015968 0 0.120530333467256 0.0774593338497289 0
"more" 0.268456375838926 0 0 0 0 0
"абсолютно" 0 0 0.0423908435777872 0 0.116189000774593 0.0869565217391304
"авторов" 0.178970917225951 0.0499001996007984 0 0 0.0387296669248644 0
"будто" 0.134228187919463 0 0 0.0803535556448373 0.0387296669248644 0
"была" 0.0447427293064877 0 0.0847816871555744 0 0.116189000774593 0
"времени" 0 0.0998003992015968 0.0847816871555744 0 0.0774593338497289 0
"всегда" 0.0894854586129754 0 0 0 0.116189000774593 0.0434782608695652
"всем" 0 0.149700598802395 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"выше" 0.0447427293064877 0 0 0 0.0774593338497289 0.130434782608696
"герой" 0 0.0998003992015968 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0434782608695652
"года" 0 0.0998003992015968 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0434782608695652
"действие" 0.0447427293064877 0.0499001996007984 0.0847816871555744 0.0803535556448373 0 0
"дело" 0 0.0499001996007984 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.0434782608695652
"домашнее" 0.268456375838926 0 0 0 0 0
"дочь" 0.0447427293064877 0 0.0847816871555744 0 0.0387296669248644 0.0869565217391304
"едва" 0.134228187919463 0.0998003992015968 0 0 0 0.0434782608695652
"им" 0 0 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.130434782608696
"имя" 0 0 0.127172530733362 0.0401767778224186 0 0.0869565217391304
"ин" 0 0 0 0 0 0.260869565217391
"историю" 0 0 0 0 0.193648334624322 0.0434782608695652
"книга" 0 0.249500998003992 0 0 0.0387296669248644 0
"конце" 0 0 0.0847816871555744 0.0803535556448373 0.0774593338497289 0
"которую" 0.0447427293064877 0.0998003992015968 0.0847816871555744 0.0401767778224186 0 0
"кроме" 0.0447427293064877 0.0499001996007984 0.0423908435777872 0.0401767778224186 0 0.0869565217391304
"мало" 0.0447427293064877 0 0 0 0.116189000774593 0.0869565217391304
"мере" 0.0894854586129754 0 0.0847816871555744 0.0803535556448373 0 0
"могут" 0.178970917225951 0.0499001996007984 0 0 0.0387296669248644 0
"нам" 0 0.0998003992015968 0 0 0.0387296669248644 0.130434782608696
"нас" 0 0 0.0423908435777872 0.0401767778224186 0 0.173913043478261
"начала" 0 0.0499001996007984 0.0423908435777872 0.0803535556448373 0.0387296669248644 0.0434782608695652
"начинает" 0.0894854586129754 0.0998003992015968 0 0.0401767778224186 0 0.0434782608695652
"нулевой" 0 0.29940119760479 0 0 0 0
"особенно" 0 0.0499001996007984 0.0423908435777872 0 0.0774593338497289 0.0869565217391304
"откровенно" 0.178970917225951 0.0499001996007984 0 0 0.0387296669248644 0
"пациент" 0 0.29940119760479 0 0 0 0
"первую" 0.0447427293064877 0.0499001996007984 0.0847816871555744 0 0.0774593338497289 0
"первых" 0.0894854586129754 0.0499001996007984 0.0847816871555744 0.0401767778224186 0 0
"потому" 0.0894854586129754 0.0499001996007984 0.0423908435777872 0 0.0774593338497289 0
"разве" 0 0.0499001996007984 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.0434782608695652
"рота" 0 0 0 0.241060666934512 0 0
"сам" 0 0 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.0869565217391304
"самых" 0.0447427293064877 0.0499001996007984 0 0.0803535556448373 0 0.0869565217391304
"скорее" 0.0447427293064877 0 0 0 0.0387296669248644 0.173913043478261
"смысле" 0 0 0.0423908435777872 0.120530333467256 0 0.0869565217391304
"событий" 0.0894854586129754 0.0998003992015968 0 0 0.0387296669248644 0.0434782608695652
"станции" 0 0.29940119760479 0 0 0 0
"столько" 0.0447427293064877 0 0 0.0803535556448373 0.116189000774593 0
"сценария" 0 0.0998003992015968 0.127172530733362 0 0.0387296669248644 0
"сцены" 0.0447427293064877 0 0 0.120530333467256 0.0774593338497289 0
"теперь" 0.0894854586129754 0.0499001996007984 0.0847816871555744 0 0 0.0434782608695652
"удается" 0.0447427293064877 0.0499001996007984 0.0847816871555744 0.0401767778224186 0 0.0434782608695652
"цель" 0 0 0.127172530733362 0.0803535556448373 0 0.0434782608695652
"чего" 0 0 0.127172530733362 0 0.0387296669248644 0.0869565217391304
"эпизодов" 0.0447427293064877 0.0499001996007984 0.169563374311149 0 0 0
"эти" 0.0447427293064877 0.0499001996007984 0.0423908435777872 0.0401767778224186 0.0774593338497289 0
"amore" 0.223713646532438 0 0 0 0 0
"большая" 0.0447427293064877 0 0.0423908435777872 0 0.0387296669248644 0.0869565217391304
"большой" 0 0 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.0869565217391304
"бэмби" 0 0 0.211954217888936 0 0 0
"верить" 0 0.0998003992015968 0.127172530733362 0 0 0
"внимания" 0.0894854586129754 0.0499001996007984 0 0 0.0774593338497289 0
"вообще" 0.0447427293064877 0 0 0.0803535556448373 0.0387296669248644 0.0434782608695652
"впечатление" 0.0447427293064877 0 0 0.0401767778224186 0.116189000774593 0
"вы" 0.0894854586129754 0 0 0.0803535556448373 0 0.0434782608695652
"героиня" 0.223713646532438 0 0 0 0 0
"главная" 0.0894854586129754 0.0499001996007984 0.0423908435777872 0 0 0.0434782608695652
"главное" 0 0.0499001996007984 0.127172530733362 0 0 0.0434782608695652
"главной" 0.0447427293064877 0 0 0 0.0774593338497289 0.0869565217391304
"главным" 0 0 0.0423908435777872 0.120530333467256 0.0387296669248644 0
"деле" 0 0 0.0847816871555744 0.120530333467256 0 0
"деплешен" 0 0 0 0.200883889112093 0 0
"деплешена" 0 0 0 0.200883889112093 0 0
"достаточно" 0 0 0 0 0.0774593338497289 0.130434782608696
"зритель" 0 0.0499001996007984 0 0.0401767778224186 0.0774593338497289 0.0434782608695652
"иногда" 0.0894854586129754 0 0.0423908435777872 0.0401767778224186 0 0.0434782608695652
"иной" 0 0.0998003992015968 0.0423908435777872 0 0.0774593338497289 0
"картина" 0 0 0 0 0 0.217391304347826
"картины" 0 0 0 0.0401767778224186 0.0387296669248644 0.130434782608696
"книги" 0 0.0998003992015968 0.0423908435777872 0.0803535556448373 0 0
"которая" 0 0 0.127172530733362 0.0401767778224186 0.0387296669248644 0
"которому" 0.0447427293064877 0 0 0.0803535556448373 0.0774593338497289 0
"крайне" 0 0 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.0434782608695652
"кто" 0 0.0998003992015968 0.0423908435777872 0.0401767778224186 0.0387296669248644 0
"лотоса" 0 0 0 0.200883889112093 0 0
"маккриди" 0 0 0 0 0.193648334624322 0
"надо" 0.0447427293064877 0 0.169563374311149 0 0 0
"напоминает" 0.0447427293064877 0 0 0.0401767778224186 0.116189000774593 0
"насилия" 0.0894854586129754 0.0998003992015968 0 0.0401767778224186 0 0
"нескольких" 0.0447427293064877 0.0499001996007984 0 0.0803535556448373 0.0387296669248644 0
"ничего" 0.0894854586129754 0 0 0 0.0774593338497289 0.0434782608695652
"нулевого" 0 0.249500998003992 0 0 0 0
"общем" 0 0.0499001996007984 0.0423908435777872 0.0803535556448373 0 0.0434782608695652
"общество" 0.223713646532438 0 0 0 0 0
"одна" 0 0 0 0.120530333467256 0.0774593338497289 0
"пациента" 0 0.249500998003992 0 0 0 0
"первого" 0.0447427293064877 0 0.0847816871555744 0.0803535556448373 0 0
"первые" 0.178970917225951 0 0.0423908435777872 0 0 0
